UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
386472,2,  1,"R",780,"R",167,"R",613,"R",7,"R",2,"R",5,"R",36,"R",12,"R",24,"R",250,"R",51,"R",199,"R",169,"R",38,"R",131,"R",3,"R",1,"R",2,"R",217,"R",42,"R",175,"R",4,"R",2,"R",2,"R",94,"R",19,"R",75,"Z",0,"Z",0,"Z",0
387660,1,999,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
387660,2,  1,"R",5,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
387819,1,999,"R",72,"R",10,"R",62,"Z",0,"Z",0,"Z",0,"R",16,"R",5,"R",11,"R",16,"R",3,"R",13,"R",12,"R",1,"R",11,"Z",0,"Z",0,"Z",0,"R",28,"R",1,"R",27,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
387819,2,  1,"R",72,"R",10,"R",62,"Z",0,"Z",0,"Z",0,"R",16,"R",5,"R",11,"R",16,"R",3,"R",13,"R",12,"R",1,"R",11,"Z",0,"Z",0,"Z",0,"R",28,"R",1,"R",27,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
387925,1,999,"R",369,"R",59,"R",310,"Z",0,"Z",0,"Z",0,"R",7,"R",1,"R",6,"R",90,"R",15,"R",75,"R",114,"R",20,"R",94,"Z",0,"Z",0,"Z",0,"R",127,"R",17,"R",110,"R",26,"R",4,"R",22,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0
387925,2,  1,"R",369,"R",59,"R",310,"Z",0,"Z",0,"Z",0,"R",7,"R",1,"R",6,"R",90,"R",15,"R",75,"R",114,"R",20,"R",94,"Z",0,"Z",0,"Z",0,"R",127,"R",17,"R",110,"R",26,"R",4,"R",22,"R",5,"R",2,"R",3,"Z",0,"Z",0,"Z",0
388043,1,999,"R",959,"R",151,"R",808,"R",1,"Z",0,"R",1,"R",4,"R",2,"R",2,"R",755,"R",108,"R",647,"R",24,"R",8,"R",16,"R",0,"Z",0,"R",0,"R",101,"R",18,"R",83,"R",12,"R",1,"R",11,"R",59,"R",13,"R",46,"R",3,"R",1,"R",2
388043,2,  1,"R",959,"R",151,"R",808,"R",1,"Z",0,"R",1,"R",4,"R",2,"R",2,"R",755,"R",108,"R",647,"R",24,"R",8,"R",16,"R",0,"Z",0,"R",0,"R",101,"R",18,"R",83,"R",12,"R",1,"R",11,"R",59,"R",13,"R",46,"R",3,"R",1,"R",2
388520,1,999,"R",612,"R",316,"R",296,"R",1,"R",0,"R",1,"R",12,"R",10,"R",2,"R",309,"R",162,"R",147,"R",183,"R",84,"R",99,"R",1,"R",0,"R",1,"R",78,"R",44,"R",34,"R",20,"R",12,"R",8,"R",8,"R",4,"R",4,"R",0,"R",0,"R",0
388520,2,  1,"R",612,"R",316,"R",296,"R",1,"R",0,"R",1,"R",12,"R",10,"R",2,"R",309,"R",162,"R",147,"R",183,"R",84,"R",99,"R",1,"R",0,"R",1,"R",78,"R",44,"R",34,"R",20,"R",12,"R",8,"R",8,"R",4,"R",4,"R",0,"R",0,"R",0
388663,1,999,"R",217,"R",6,"R",211,"R",0,"R",0,"R",0,"R",16,"R",3,"R",13,"R",165,"R",2,"R",163,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0,"R",23,"R",1,"R",22,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5,"R",0,"R",0,"R",0
388663,2,  1,"R",217,"R",6,"R",211,"R",0,"R",0,"R",0,"R",16,"R",3,"R",13,"R",165,"R",2,"R",163,"R",8,"R",0,"R",8,"R",0,"R",0,"R",0,"R",23,"R",1,"R",22,"R",0,"R",0,"R",0,"R",5,"R",0,"R",5,"R",0,"R",0,"R",0
389727,1,999,"R",668,"R",107,"R",561,"R",2,"R",0,"R",2,"R",5,"R",0,"R",5,"R",315,"R",52,"R",263,"R",25,"R",6,"R",19,"R",0,"R",0,"R",0,"R",281,"R",45,"R",236,"R",21,"R",3,"R",18,"R",18,"R",1,"R",17,"R",1,"R",0,"R",1
389727,2,  1,"R",668,"R",107,"R",561,"R",2,"R",0,"R",2,"R",5,"R",0,"R",5,"R",315,"R",52,"R",263,"R",25,"R",6,"R",19,"R",0,"R",0,"R",0,"R",281,"R",45,"R",236,"R",21,"R",3,"R",18,"R",18,"R",1,"R",17,"R",1,"R",0,"R",1
389860,1,999,"R",241,"R",140,"R",101,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",17,"R",10,"R",7,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",204,"R",120,"R",84,"R",16,"R",9,"R",7,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
389860,2,  1,"R",241,"R",140,"R",101,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",17,"R",10,"R",7,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",204,"R",120,"R",84,"R",16,"R",9,"R",7,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0
390701,1,999,"R",12646,"R",3030,"R",9616,"R",111,"R",22,"R",89,"R",61,"R",30,"R",31,"R",6440,"R",1497,"R",4943,"R",708,"R",202,"R",506,"R",51,"R",14,"R",37,"R",3969,"R",931,"R",3038,"R",487,"R",117,"R",370,"R",819,"R",217,"R",602,"R",0,"R",0,"R",0
390701,2,  1,"R",12378,"R",2952,"R",9426,"R",110,"R",22,"R",88,"R",46,"R",16,"R",30,"R",6311,"R",1468,"R",4843,"R",684,"R",194,"R",490,"R",51,"R",14,"R",37,"R",3892,"R",910,"R",2982,"R",478,"R",116,"R",362,"R",806,"R",212,"R",594,"R",0,"R",0,"R",0
390701,4,  3,"R",268,"R",78,"R",190,"R",1,"R",0,"R",1,"R",15,"R",14,"R",1,"R",129,"R",29,"R",100,"R",24,"R",8,"R",16,"R",0,"R",0,"R",0,"R",77,"R",21,"R",56,"R",9,"R",1,"R",8,"R",13,"R",5,"R",8,"R",0,"R",0,"R",0
390905,1,999,"R",276,"R",124,"R",152,"R",6,"R",3,"R",3,"R",7,"R",3,"R",4,"R",22,"R",7,"R",15,"R",14,"R",3,"R",11,"R",2,"R",2,"R",0,"R",211,"R",97,"R",114,"R",14,"R",9,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
390905,2,  1,"R",276,"R",124,"R",152,"R",6,"R",3,"R",3,"R",7,"R",3,"R",4,"R",22,"R",7,"R",15,"R",14,"R",3,"R",11,"R",2,"R",2,"R",0,"R",211,"R",97,"R",114,"R",14,"R",9,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
391005,1,999,"R",450,"R",21,"R",429,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",447,"R",21,"R",426,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
391005,2,  1,"R",450,"R",21,"R",429,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",447,"R",21,"R",426,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
391546,1,999,"R",272,"R",33,"R",239,"R",6,"R",0,"R",6,"R",8,"R",2,"R",6,"R",19,"R",6,"R",13,"R",207,"R",19,"R",188,"R",0,"R",0,"R",0,"R",32,"R",6,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
