unitid,effylev,lstudy,"xfyrac01",fyrace01,"xfyrac02",fyrace02,"xfyrac03",fyrace03,"xfyrac04",fyrace04,"xfyrac05",fyrace05,"xfyrac06",fyrace06,"xfyrac07",fyrace07,"xfyrac08",fyrace08,"xfyrac09",fyrace09,"xfyrac10",fyrace10,"xfyrac11",fyrace11,"xfyrac12",fyrace12,"xfyrac13",fyrace13,"xfyrac14",fyrace14,"xfyrac15",fyrace15,"xfyrac16",fyrace16,"xfyrac17",fyrace17,"xfyrac18",fyrace18,"xfyrac19",fyrace19,"xfyrac20",fyrace20,"xfyrac21",fyrace21,"xfyrac22",fyrace22,"xfyrac23",fyrace23,"xfyrac24",fyrace24
"101286","1","999",13,"0",10,"1",10,"454",10,"952",10,"10",10,"6",10,"26",10,"47",10,"27",10,"43",10,"1360",10,"2128",10,"18",10,"31",10,"1895",10,"3208",10,"1",10,"1406",10,"16",10,"73",10,"70",10,"3488",10,"49",10,"5103"
"101286","2","1",13,"0",10,"1",10,"454",10,"952",10,"10",10,"6",10,"26",10,"47",10,"27",10,"43",10,"1360",10,"2128",10,"18",10,"31",10,"1895",10,"3208",10,"1",10,"1406",10,"16",10,"73",10,"70",10,"3488",10,"49",10,"5103"
"101295","1","999",13,"0",13,"0",10,"123",10,"229",10,"14",10,"25",10,"6",10,"13",10,"29",10,"30",10,"2429",10,"4363",10,"15",10,"42",10,"2616",10,"4702",13,"0",10,"352",10,"39",10,"19",10,"59",10,"6792",10,"57",10,"7318"
"101295","2","1",13,"0",13,"0",10,"123",10,"229",10,"14",10,"25",10,"6",10,"13",10,"29",10,"30",10,"2429",10,"4363",10,"15",10,"42",10,"2616",10,"4702",13,"0",10,"352",10,"39",10,"19",10,"59",10,"6792",10,"57",10,"7318"
"101301","1","999",13,"0",13,"0",10,"438",10,"1416",10,"1",10,"1",13,"0",10,"8",13,"0",10,"6",10,"555",10,"853",10,"1",10,"4",10,"995",10,"2288",13,"0",10,"1854",10,"2",10,"8",10,"6",10,"1408",10,"5",10,"3283"
"101301","2","1",13,"0",13,"0",10,"438",10,"1416",10,"1",10,"1",13,"0",10,"8",13,"0",10,"6",10,"555",10,"853",10,"1",10,"4",10,"995",10,"2288",13,"0",10,"1854",10,"2",10,"8",10,"6",10,"1408",10,"5",10,"3283"
"101365","1","999",13,"0",13,"0",10,"147",10,"233",10,"1",13,"0",10,"1",13,"0",13,"0",13,"0",10,"173",10,"70",10,"10",10,"5",10,"332",10,"308",13,"0",10,"380",10,"1",10,"1",13,"0",10,"243",10,"15",10,"640"
"101365","2","1",13,"0",13,"0",10,"147",10,"233",10,"1",13,"0",10,"1",13,"0",13,"0",13,"0",10,"173",10,"70",10,"10",10,"5",10,"332",10,"308",13,"0",10,"380",10,"1",10,"1",13,"0",10,"243",10,"15",10,"640"
"101435","1","999",10,"1",10,"6",10,"61",10,"42",10,"4",10,"5",10,"5",10,"3",10,"4",10,"6",10,"334",10,"272",10,"39",10,"57",10,"448",10,"391",10,"7",10,"103",10,"9",10,"8",10,"10",10,"606",10,"96",10,"839"
"101435","2","1",10,"1",10,"6",10,"61",10,"42",10,"4",10,"5",10,"5",10,"3",10,"4",10,"6",10,"334",10,"272",10,"39",10,"57",10,"448",10,"391",10,"7",10,"103",10,"9",10,"8",10,"10",10,"606",10,"96",10,"839"
"101453","1","999",10,"14",13,"0",10,"1",10,"17",13,"0",10,"1",10,"2",13,"0",13,"0",13,"0",10,"18",10,"89",13,"0",13,"0",10,"35",10,"107",10,"14",10,"18",10,"1",10,"2",13,"0",10,"107",13,"0",10,"142"
"101453","2","1",10,"8",13,"0",13,"0",10,"17",13,"0",10,"1",10,"1",13,"0",13,"0",13,"0",13,"0",10,"89",13,"0",13,"0",10,"9",10,"107",10,"8",10,"17",10,"1",10,"1",13,"0",10,"89",13,"0",10,"116"
"101453","4","3",10,"6",13,"0",10,"1",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"18",13,"0",13,"0",13,"0",10,"26",13,"0",10,"6",10,"1",13,"0",10,"1",13,"0",10,"18",13,"0",10,"26"
"101462","1","999",13,"0",13,"0",10,"234",10,"357",10,"1",10,"2",10,"7",10,"2",10,"12",10,"5",10,"241",10,"144",10,"15",10,"20",10,"510",10,"530",13,"0",10,"591",10,"3",10,"9",10,"17",10,"385",10,"35",10,"1040"
"101462","2","1",13,"0",13,"0",10,"234",10,"357",10,"1",10,"2",10,"7",10,"2",10,"12",10,"5",10,"241",10,"144",10,"15",10,"20",10,"510",10,"530",13,"0",10,"591",10,"3",10,"9",10,"17",10,"385",10,"35",10,"1040"
