UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
445744,2,  1,"Z",0,"Z",0,"R",7,"R",116,"Z",0,"Z",0,"R",1,"R",5,"R",6,"R",28,"R",9,"R",113,"R",5,"R",96,"R",28,"R",358,"Z",0,"R",123,"Z",0,"R",6,"R",34,"R",122,"R",101,"R",386
445753,1,999,"Z",0,"Z",0,"R",12,"R",80,"Z",0,"R",2,"Z",0,"R",5,"R",39,"R",109,"R",7,"R",13,"R",7,"R",26,"R",65,"R",235,"Z",0,"R",92,"R",2,"R",5,"R",148,"R",20,"R",33,"R",300
445753,2,  1,"Z",0,"Z",0,"R",12,"R",80,"Z",0,"R",2,"Z",0,"R",5,"R",39,"R",109,"R",7,"R",13,"R",7,"R",26,"R",65,"R",235,"Z",0,"R",92,"R",2,"R",5,"R",148,"R",20,"R",33,"R",300
445762,1,999,"Z",0,"Z",0,"R",67,"R",4,"Z",0,"Z",0,"R",10,"R",1,"R",17,"Z",0,"R",29,"R",2,"R",10,"R",4,"R",133,"R",11,"Z",0,"R",71,"Z",0,"R",11,"R",17,"R",31,"R",14,"R",144
445762,2,  1,"Z",0,"Z",0,"R",67,"R",4,"Z",0,"Z",0,"R",10,"R",1,"R",17,"Z",0,"R",29,"R",2,"R",10,"R",4,"R",133,"R",11,"Z",0,"R",71,"Z",0,"R",11,"R",17,"R",31,"R",14,"R",144
445771,1,999,"Z",0,"R",1,"R",6,"R",175,"Z",0,"R",1,"R",1,"R",6,"R",18,"R",245,"R",15,"R",281,"R",13,"R",137,"R",53,"R",846,"R",1,"R",181,"R",1,"R",7,"R",263,"R",296,"R",150,"R",899
445771,2,  1,"Z",0,"R",1,"R",6,"R",175,"Z",0,"R",1,"R",1,"R",6,"R",18,"R",245,"R",15,"R",281,"R",13,"R",137,"R",53,"R",846,"R",1,"R",181,"R",1,"R",7,"R",263,"R",296,"R",150,"R",899
445780,1,999,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",16,"R",4,"R",32,"Z",0,"Z",0,"R",5,"R",50,"Z",0,"Z",0,"R",1,"R",1,"R",17,"R",36,"Z",0,"R",55
445780,2,  1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"R",16,"R",4,"R",32,"Z",0,"Z",0,"R",5,"R",50,"Z",0,"Z",0,"R",1,"R",1,"R",17,"R",36,"Z",0,"R",55
445799,1,999,"R",1,"Z",0,"R",236,"R",3,"R",4,"Z",0,"R",73,"R",2,"R",239,"R",3,"R",1609,"R",29,"R",353,"R",11,"R",2515,"R",48,"R",1,"R",239,"R",4,"R",75,"R",242,"R",1638,"R",364,"R",2563
