UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
196121,1,1,1,2,1,2,1,1,3,"R",9211,"R",3817,"R",5394,"R",5096,"R",2104,"R",2992,"R",1205,"R",497,"R",708,"R",1202,"R",495,"R",707,"R",3,"R",2,"R",1,"R",1103,"R",92,"R",446,"R",37,"R",450,"R",550,"R",470,"R",570,"R",20,"R",25,"R",18,"R",24,"R",20,"R",26
196130,1,2,1,1,2,1,1,1,3,"R",13715,"R",6090,"R",7625,"R",8787,"R",3713,"R",5074,"R",1628,"R",717,"R",911,"R",1619,"R",711,"R",908,"R",9,"R",6,"R",3,"R",1511,"R",93,"R",249,"R",15,"R",390,"R",490,"R",385,"R",490,"R",17,"R",22,"R",16,"R",22,"R",18,"R",22
196149,5,5,1,2,1,3,5,5,3,"R",10875,"R",4955,"R",5920,"R",5673,"R",2326,"R",3347,"R",1238,"R",547,"R",691,"R",1238,"R",547,"R",691,"R",0,"R",0,"R",0,"R",826,"R",82,"R",355,"R",35,"R",480,"R",560,"R",510,"R",580,"R",22,"R",25,"R",20,"R",24,"R",21,"R",26
196158,1,2,1,1,1,2,1,1,3,"R",5381,"R",2129,"R",3252,"R",3355,"R",1266,"R",2089,"R",931,"R",374,"R",557,"R",930,"R",374,"R",556,"R",1,"R",0,"R",1,"R",732,"R",79,"R",189,"R",20,"R",450,"R",570,"R",450,"R",550,"R",22,"R",27,"A",,"A",,"A",,"A",
196167,1,2,1,2,2,2,1,1,3,"R",8892,"R",3420,"R",5472,"R",5944,"R",2332,"R",3612,"R",1238,"R",511,"R",727,"R",1233,"R",510,"R",723,"R",5,"R",1,"R",4,"R",774,"R",63,"R",473,"R",38,"R",540,"R",650,"R",550,"R",650,"R",25,"R",29,"A",,"A",,"A",,"A",
196176,1,3,1,1,1,3,1,3,3,"R",14042,"R",5466,"R",8576,"R",6030,"R",2146,"R",3884,"R",1092,"R",366,"R",726,"R",1089,"R",363,"R",726,"R",3,"R",3,"R",0,"R",959,"R",88,"R",299,"R",27,"R",500,"R",600,"R",510,"R",600,"R",23,"R",27,"R",22,"R",27,"R",22,"R",26
196185,1,2,1,1,1,3,1,1,3,"R",10606,"R",4175,"R",6430,"R",5604,"R",2052,"R",3552,"R",1122,"R",409,"R",713,"R",1122,"R",409,"R",713,"A",,"A",,"A",,"R",997,"R",89,"R",409,"R",36,"R",490,"R",580,"R",490,"R",580,"R",22,"R",26,"R",20,"R",25,"R",22,"R",26
196194,1,2,1,1,1,3,1,1,3,"R",10715,"R",4781,"R",5934,"R",5842,"R",2685,"R",3139,"R",1441,"R",701,"R",740,"R",1440,"R",701,"R",739,"R",1,"R",0,"R",1,"R",1369,"R",95,"R",447,"R",31,"R",500,"R",590,"R",510,"R",590,"R",22,"R",27,"A",,"A",,"A",,"A",
196200,1,2,1,2,1,2,3,1,3,"R",5454,"R",2173,"R",3281,"R",3915,"R",1473,"R",2442,"R",788,"R",319,"R",469,"R",784,"R",316,"R",468,"R",4,"R",3,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
196219,1,2,1,3,1,1,1,1,3,"R",6762,"R",2613,"R",4149,"R",2942,"R",1097,"R",1845,"R",732,"R",307,"R",425,"R",729,"R",307,"R",422,"R",3,"R",0,"R",3,"R",546,"R",75,"R",161,"R",22,"R",500,"R",610,"R",470,"R",570,"R",20,"R",27,"R",21,"R",29,"R",19,"R",26
